k,epoch,train_loss,val_loss
0,14,1.7163850120220525,1.7792787537194896
0,29,0.6272214670428091,1.1020402483437268
0,44,0.4489670914840058,0.9736262487667462
0,59,0.22162990169434713,0.860969651291224
0,74,0.1521209774161591,0.7667126378522766
0,89,0.11733466118075196,0.7515593041205583
0,104,0.10989132686469731,0.7430593796364896
0,119,0.08961520130056072,0.739859065610346
0,134,0.08215742622434606,0.7392022575059428
0,149,0.08071944888099152,0.7413920045954148
0,164,0.009308374897931739,0.7430863123656779
0,179,0.004678064054860676,0.7419863355518029
0,194,0.0012553210653012694,0.7373815262404618
0,209,8.116572413453258e-05,0.735473244707605
0,224,1.0000050000287823e-05,0.7338090003864814
0,239,1.0000050000287823e-05,0.7329394198435042
0,254,1.0000050000287823e-05,0.7334638506882877
0,269,1.0000050000287823e-05,0.7326558989387302
0,284,1.0000050000287823e-05,0.7326500750904197
0,299,1.0000050000287823e-05,0.7326500750904197
0,314,1.0000050000287823e-05,0.7326500750904197
0,329,1.0000050000287823e-05,0.7326500750904197
0,344,1.0000050000287823e-05,0.7326500750904197
0,359,1.0000050000287823e-05,0.7326500750904197
0,374,1.0000050000287823e-05,0.7326500750904197
0,389,1.0000050000287823e-05,0.7326500750904197
0,404,1.0000050000287823e-05,0.7326500750904197
0,419,1.0000050000287823e-05,0.7326500750904197
0,434,1.0000050000287823e-05,0.7326500750904197
0,449,1.0000050000287823e-05,0.7326500750904197
0,464,1.0000050000287823e-05,0.7326500750904197
0,479,1.0000050000287823e-05,0.7326500750904197
0,494,1.0000050000287823e-05,0.7326500750904197
1,14,1.0000050000287821e-05,0.1056330777098189
1,29,1.0000050000287821e-05,0.1056330777098189
1,44,1.0000050000287821e-05,0.1056330777098189
1,59,1.0000050000287821e-05,0.1056330777098189
1,74,1.0000050000287821e-05,0.1056330777098189
1,89,1.0000050000287821e-05,0.1056330777098189
1,104,1.0000050000287821e-05,0.1056330777098189
1,119,1.0000050000287821e-05,0.1056330777098189
1,134,1.0000050000287821e-05,0.2223344816595866
1,149,1.0000050000287821e-05,0.3168792330295395
1,164,1.0000050000287821e-05,0.31886254812223946
1,179,1.0000050000287821e-05,0.32173374179597325
1,194,1.0000050000287821e-05,0.32186358943956755
1,209,1.0000050000287821e-05,0.3221712809398696
1,224,1.0000050000287821e-05,0.322202217191049
1,239,1.0000050000287821e-05,0.3222052712155565
1,254,1.0000050000287821e-05,0.3222055721596661
1,269,1.0000050000287821e-05,0.3222056018077499
1,284,1.0000050000287821e-05,0.32220560473067655
1,299,1.0000050000287821e-05,0.3222056050175807
1,314,1.0000050000287821e-05,0.32220560504553925
1,329,1.0000050000287821e-05,0.3222056050502902
1,344,1.0000050000287821e-05,0.3222056050516302
1,359,1.0000050000287821e-05,0.3222056050520701
1,374,1.0000050000287821e-05,0.3222056050522145
1,389,1.0000050000287821e-05,0.32220560505226187
1,404,1.0000050000287821e-05,0.32220560505227747
1,419,1.0000050000287821e-05,0.32220560505228246
1,434,1.0000050000287821e-05,0.3222056050522841
1,449,1.0000050000287821e-05,0.3222056050522847
1,464,1.0000050000287821e-05,0.322205605052285
1,479,1.0000050000287821e-05,0.3222056050522854
1,494,1.0000050000287821e-05,0.3222056050522858
2,14,1.0000050000287821e-05,1.0000050000287821e-05
2,29,1.0000050000287821e-05,1.0000050000287821e-05
2,44,1.0000050000287821e-05,1.0000050000287821e-05
2,59,1.0000050000287821e-05,1.0000050000287821e-05
2,74,1.0000050000287821e-05,1.0000050000287821e-05
2,89,1.0000050000287821e-05,1.0000050000287821e-05
2,104,1.0000050000287821e-05,1.0000050000287821e-05
2,119,1.0000050000287821e-05,1.0000050000287821e-05
2,134,1.0000050000287821e-05,1.0000050000287821e-05
2,149,1.0000050000287821e-05,1.0000050000287821e-05
2,164,1.0000050000287821e-05,1.0000050000287821e-05
2,179,1.0000050000287821e-05,1.0000050000287821e-05
2,194,1.0000050000287821e-05,1.0000050000287821e-05
